date	n	repeat	F1_score_test	coefs[0]	coefs[1]	coefs[2]	intercept	threshold
2019_07_25	1	0	0.3901229319445921	-0.0004237829998601228	0.0005881419056095183	-0.00018364259449299425	-0.0025710579939186573	0.01066435550436392
2019_07_25	1	1	0.4014334399044373	-0.0006522914627566934	0.000875478726811707	-0.00023447792045772076	-0.004396078176796436	0.015332181790792694
2019_07_25	1	2	0.3394334236146695	-0.0011196177219972014	0.0014268357772380114	-0.00028084366931580007	-0.008665760047733784	0.025257471530823285
2019_07_25	1	3	0.5265541769002583	-0.0007033860310912132	0.0008922287961468101	-0.00019614887423813343	-0.003565356368198991	0.014496997090988688
2019_07_25	1	4	0.34720553431640266	-0.0004783777112606913	0.0005919670220464468	-0.00010177327203564346	-0.0032503032125532627	0.010615892175555178
2019_07_25	2	0	0.24200646492970362	-0.0012253237655386329	0.001636646455153823	-0.0004075330216437578	-0.009887592867016792	0.03155043477663857
2019_07_25	2	1	0.5077904829775518	-0.001322061405517161	0.001704653725028038	-0.00040573065052740276	-0.0068955193273723125	0.028126500596300875
2019_07_25	2	2	0.47082360786928973	-0.0013100621290504932	0.0016811650712043047	-0.000366262742318213	-0.008567358367145061	0.02757240320358758
2019_07_25	2	3	0.5805390589310188	-0.000826462812256068	0.0011263872729614377	-0.0003441080334596336	-0.003926287405192852	0.01775534823122985
2019_07_25	2	4	0.5309042350247997	-0.0012476773699745536	0.0016435649013146758	-0.00042983973980881274	-0.00666833994910121	0.02650297908120798
2019_07_25	3	0	0.43215942277959113	-0.0019460688345134258	0.0025295461528003216	-0.0005916472291573882	-0.012596433982253075	0.043210711688022166
2019_07_25	3	1	0.49591209366211003	-0.0016176261706277728	0.0020496314391493797	-0.0004344286862760782	-0.009174494072794914	0.03364728146976353
2019_07_25	3	2	0.48550796320110784	-0.0019493215950205922	0.0024694721214473248	-0.0005271501722745597	-0.01088206097483635	0.040972513619205043
2019_07_25	3	3	0.3881644223954642	-0.0018816165393218398	0.002484048018231988	-0.000602682470344007	-0.013934760354459286	0.04292962438093145
2019_07_25	3	4	0.4765098442843388	-0.001889722771011293	0.002460410352796316	-0.0005732661229558289	-0.012835697270929813	0.039937013826991566
2019_07_25	4	0	0.6277080131086685	-0.002537722233682871	0.0033008502796292305	-0.0007897370378486812	-0.015326599590480328	0.047005390333746754
2019_07_25	4	1	0.45831649831649834	-0.0020971200428903103	0.002745292615145445	-0.0006338034872896969	-0.01589985564351082	0.04430921380768701
2019_07_25	4	2	0.4589557260126496	-0.002200627001002431	0.002871530130505562	-0.0006464945035986602	-0.017031095921993256	0.04607812530920614
2019_07_25	4	3	0.5041738396076266	-0.002384989522397518	0.003119572764262557	-0.0007478339248336852	-0.015779785811901093	0.04965875758602544
2019_07_25	4	4	0.5581380915438323	-0.002050116192549467	0.0027452148497104645	-0.000754264765419066	-0.012060807086527348	0.04254676408334239
